Compound,Date,Negative,Neutral,Positive,Tweets,Tweets Ago,User
-0.296,Thu Mar 29 20:41:00 +0000 2018,0.099,0.901,0.0,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj",0,@BBC
0.0,Thu Mar 29 18:45:08 +0000 2018,0.0,1.0,0.0,"RT @BBCBreakfast: Counting down the hours until you go home for Easter?
🌧🌤🌨 Here's your Easter weekend forecast: https://t.co/EXeBCHutS4",1,@BBC
0.0,Thu Mar 29 18:44:20 +0000 2018,0.0,1.0,0.0,RT @bbcrb: Retirement's looking rosy for Hank the police horse! 🐎😆 https://t.co/xB9kXZeWNE,2,@BBC
0.0,Thu Mar 29 18:44:11 +0000 2018,0.0,1.0,0.0,"RT @BBCNewsbeat: Anthony Joshua faces Joseph Parker in Cardiff on Saturday.
And he's eating a LOT to prepare... 😋 💪 https://t.co/qp6xw04IiC",3,@BBC
0.0,Thu Mar 29 18:43:51 +0000 2018,0.0,1.0,0.0,RT @BBCOne: Anyone else having a 'chilled one'? 🐼 https://t.co/WRBeDdaK18,4,@BBC
0.4522,Thu Mar 29 18:05:02 +0000 2018,0.109,0.697,0.194,"❤️ 'That was it I just totally fell in love with art.'

🎶 How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl",5,@BBC
0.0,Thu Mar 29 17:04:05 +0000 2018,0.0,1.0,0.0,"🍳 Wanna get the kids cooking this #EasterWeekend? 
Here are 10 recipes to keep them busy in the kitchen.
👉… https://t.co/5xxQNyyRMg",6,@BBC
0.784,Thu Mar 29 16:12:19 +0000 2018,0.0,0.712,0.288,RT @BBCTaster: We've just released a host of amazing new artefacts for the #CivilisationsAR app! Discover history's treasures wherever you…,7,@BBC
-0.3164,Thu Mar 29 16:03:03 +0000 2018,0.534,0.466,0.0,✊ Plastic protest! https://t.co/9m59wayYH8,8,@BBC
0.0,Thu Mar 29 15:41:25 +0000 2018,0.0,1.0,0.0,"RT @bbcarts: This Picture Wall in Lahore, Pakistan stretches for over 450 metres and is full of mesmerising mosaics https://t.co/ZFhuF7PiQP",9,@BBC
